soda,canned beer,sausage,whole milk,pickled vegetables,misc. beverages,semi-finished bread,hygiene articles,yogurt,pastry,salty snack,,,,,,,,,,,,,,,
frankfurter,beef,sausage,whole milk,soda,curd,white bread,whipped/sour cream,rolls/buns,,,,,,,,,,,,,,,,,
tropical fruit,butter milk,butter,frozen vegetables,sugar,specialty chocolate,whole milk,other vegetables,,,,,,,,,,,,,,,,,,
sausage,root vegetables,rolls/buns,detergent,frozen meals,dental care,,,,,,,,,,,,,,,,,,,,
other vegetables,pip fruit,root vegetables,canned beer,rolls/buns,whole milk,hygiene articles,frozen fish,red/blush wine,chocolate,shopping bags,dish cleaner,packaged fruit/vegetables,tropical fruit,cling film/bags,pastry,,,,,,,,,,
whipped/sour cream,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frankfurter,chicken,bottled water,flour,chocolate,bottled beer,rolls/buns,rice,softener,shopping bags,skin care,,,,,,,,,,,,,,
hamburger meat,tropical fruit,soda,liquor (appetizer),yogurt,liver loaf,root vegetables,dessert,domestic eggs,white wine,photo/film,,,,,,,,,,,,,,,
herbs,pastry,tropical fruit,yogurt,ketchup,canned fish,newspapers,cocoa drinks,,,,,,,,,,,,,,,,,,
pip fruit,frankfurter,bottled water,candles,coffee,specialty bar,kitchen towels,rolls/buns,UHT-milk,sliced cheese,,,,,,,,,,,,,,,,
whole milk,frankfurter,candles,citrus fruit,curd cheese,grapes,herbs,other vegetables,candy,pastry,bottled water,yogurt,rolls/buns,,,,,,,,,,,,,
frankfurter,processed cheese,tropical fruit,root vegetables,yogurt,whole milk,rolls/buns,onions,frozen vegetables,shopping bags,brown bread,,,,,,,,,,,,,,,
frozen meals,white bread,meat,whole milk,tropical fruit,mustard,hard cheese,root vegetables,other vegetables,domestic eggs,roll products ,candy,frozen vegetables,whipped/sour cream,napkins,mayonnaise,bottled water,,,,,,,,,
whole milk,canned beer,sausage,hamburger meat,bottled beer,cookware,yogurt,butter milk,rolls/buns,,,,,,,,,,,,,,,,,
citrus fruit,salty snack,fruit/vegetable juice,whole milk,beef,rolls/buns,chocolate,,,,,,,,,,,,,,,,,,,
UHT-milk,soft cheese,rolls/buns,chicken,frankfurter,bottled beer,pip fruit,oil,red/blush wine,mayonnaise,,,,,,,,,,,,,,,,
soda,other vegetables,yogurt,dessert,rolls/buns,beef,root vegetables,brown bread,shopping bags,pet care,,,,,,,,,,,,,,,,
butter milk,curd,berries,beverages,root vegetables,long life bakery product,cake bar,domestic eggs,,,,,,,,,,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,frozen meals,spices,rolls/buns,shopping bags,butter,frozen fish,newspapers,yogurt,,,,,,,,,,,,,,,,,
rolls/buns,liquor,curd,sliced cheese,baking powder,yogurt,tropical fruit,butter,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,fruit/vegetable juice,napkins,whipped/sour cream,,,,,,,,,,,,,,,,,,,,
white bread,whipped/sour cream,bottled beer,root vegetables,sausage,domestic eggs,chicken,male cosmetics,yogurt,rolls/buns,berries,packaged fruit/vegetables,soda,frozen meals,curd,specialty bar,,,,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,
canned beer,ham,coffee,UHT-milk,cream cheese ,shopping bags,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,root vegetables,salty snack,whipped/sour cream,citrus fruit,sausage,candy,dental care,canned beer,yogurt,dessert,long life bakery product,rolls/buns,butter,pickled vegetables,,,,,,,,,,,
pork,rolls/buns,softener,hamburger meat,red/blush wine,salt,whole milk,bottled water,,,,,,,,,,,,,,,,,,
specialty chocolate,onions,soda,rolls/buns,root vegetables,canned beer,butter,baking powder,sugar,flower (seeds),bottled water,,,,,,,,,,,,,,,
dessert,ham,,,,,,,,,,,,,,,,,,,,,,,,
beverages,other vegetables,ice cream,cream cheese ,pot plants,berries,,,,,,,,,,,,,,,,,,,,
berries,yogurt,ice cream,soda,butter,white bread,whipped/sour cream,other vegetables,root vegetables,cream cheese ,whole milk,newspapers,pastry,shopping bags,,,,,,,,,,,,
tropical fruit,chicken,sausage,frankfurter,fruit/vegetable juice,soda,waffles,snack products,pastry,dessert,rolls/buns,,,,,,,,,,,,,,,
pip fruit,bottled water,tropical fruit,cling film/bags,domestic eggs,newspapers,yogurt,cat food,frozen meals,,,,,,,,,,,,,,,,,
whole milk,sausage,yogurt,pip fruit,newspapers,frozen vegetables,rolls/buns,white wine,white bread,salt,,,,,,,,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,tropical fruit,yogurt,shopping bags,white bread,rolls/buns,chewing gum,cake bar,canned beer,,,,,,,,,,,,,,,,
